Seaking,119,119,0,Water,,Water 2,Water 2,Swift Swim,Water Absorb,Lightning Rod,80,75,75,102,75,78,4,Supersonic,1,Tail Whip,1,Peck,1,Quick Attack,7,Horn Attack,10,Flail,13,Water Pulse,16,Aqua Ring,19,Fury Attack,22,Waterfall,25,Agility,28,Body Slam,31,Aqua Tail,35,Knock Off,39,Drill Run,43,Bounce,44,Soak,47,Megahorn,51,Hydro Pump,58,Horn Drill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Pulse,Toxic,Hail,Ice Beam,Blizzard,Hyper Beam,Protect,Rain Dance,Thunderbolt,Double Team,Attract,Brine,Giga Impact,Swords Dance,Poison Jab,Surf,Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Psybeam,Haze,Aqua Tail,Acupressure,Mud-Slap,Hydro Pump,Body Slam,Mud Shot,Skull Bash,Signal Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Mud-Slap,Fury Cutter,Signal Beam,Dive,Bounce,Swift,Drill Run,Aqua Tail,Icy Wind,Knock Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staryu,120,120,0,Water,,Water 3,Water 3,Natural Cure,Analytic,Regenerator,30,45,55,70,55,85,1,Harden,1,Tackle,1,Water Gun,4,Rapid Spin,11,Recover,13,Swift,15,Water Pulse,21,Bubble Beam,23,Gyro Ball,24,Psybeam,25,Minimize,27,Power Gem,28,Brine,31,Psychic,33,Confuse Ray,35,Light Screen,37,Cosmic Power,41,Hydro Pump,44,Surf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Pulse,Toxic,Hail,Ice Beam,Blizzard,Light Screen,Protect,Rain Dance,Dream Eater,Thunderbolt,Thunder,Psychic,Double Team,Reflect,Brine,Scald,Recycle,Flash,Thunder Wave,Gyro Ball,Psych Up,Flash Cannon,Surf,Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Rollout,Signal Beam,Dive,Magic Coat,Pain Split,Swift,Gravity,Icy Wind,Zap Cannon,Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starmie,121,121,0,Water,Psychic,Water 3,Water 3,Natural Cure,Analytic,Regenerator,60,75,85,100,85,115,1,Harden,1,Tackle,4,Water Gun,9,Rapid Spin,14,Recover,19,Swift,24,Water Pulse,24,Bubble Beam,29,Gyro Ball,34,Psybeam,34,Minimize,39,Power Gem,44,Brine,49,Psychic,54,Confuse Ray,59,Light Screen,64,Cosmic Power,69,Surf,74,Hydro Pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Pulse,Toxic,Hail,Ice Beam,Blizzard,Hyper Beam,Light Screen,Protect,Rain Dance,Dream Eater,Thunderbolt,Thunder,Psychic,Double Team,Reflect,Skill Swap,Brine,Scald,Recycle,Giga Impact,Flash,Avalanche,Thunder Wave,Gyro Ball,Psych Up,Dazzling Gleam,Grass Knot,Flash Cannon,Trick Room,Surf,Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Ally Switch,Rollout,Signal Beam,Wonder Room,Dive,Magic Coat,Pain Split,Swift,Trick,Gravity,Icy Wind,Zap Cannon,Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Mime,122,122,0,Psychic,Fairy,Human-Like,Human-Like,Filter,Technician,Misty Surge,50,35,65,110,120,95,6,Copycat,1,Pound,1,Barrier,1,Guard Swap,1,Power Swap,1,Wide Guard,1,Quick Guard,1,Confusion,1,Magical Leaf,8,Meditate,9,Double Slap,15,Encore,18,Mimic,20,Protect,21,Psybeam,24,Recycle,24,Light Screen,24,Reflect,27,Dazzling Gleam,30,Substitute,33,Psychic,36,Trick,39,Nasty Plot,40,Sucker Punch,42,Role Play,45,Baton Pass,48,Safeguard,52,Teeter Dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Calm Mind,Toxic,Sunny Day,Taunt,Hyper Beam,Light Screen,Protect,Rain Dance,Safeguard,Dream Eater,Solar Beam,Thunderbolt,Thunder,Psychic,Shadow Ball,Brick Break,Double Team,Reflect,Shock Wave,Aerial Ace,Torment,Attract,Thief,Skill Swap,Focus Blast,Energy Ball,Fling,Wild Charge,Drain Punch,Nasty Plot,Payback,Recycle,Giga Impact,Flash,Thunder Wave,Psych Up,Dazzling Gleam,Grass Knot,Trick Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hypnosis,Fake Out,Confuse Ray,Power Split,Tickle,Future Sight,Mimic,Trick,Teeter Dance,Healing Wish,Charm,Magic Room,Icy Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Covet,Ally Switch,Mud-Slap,Uproar,Signal Beam,Fire Punch,Ice Punch,Thunder Punch,Iron Defense,Magic Room,Wonder Room,Seismic Toss,Role Play,Zen Headbutt,Magic Coat,Trick,Power-Up Punch,Icy Wind,Zap Cannon,Foul Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scyther,123,123,0,Bug,Flying,Bug,Bug,Technician,Swarm,Hyper Cutter,70,110,80,55,80,105,1,Leer,1,Quick Attack,1,Vacuum Wave,4,Focus Energy,7,Silver Wind,10,False Swipe,13,Fury Cutter,16,Agility,19,Wing Attack,22,Slash,22,Night Slash,25,Bug Bite,31,Double Team,31,Razor Wind,34,X-Scissor,37,Double Hit,40,Air Slash,43,Swords Dance,44,Laser Focus,46,Baton Pass,49,Reversal,52,Feint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxic,Sunny Day,Hyper Beam,Light Screen,Protect,Rain Dance,Safeguard,Brick Break,Double Team,Aerial Ace,Attract,Thief,Steel Wing,Roost,False Swipe,Bug Buzz,Giga Impact,Swords Dance,X-Scissor,U-turn,Cut,Defog,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Counter,Night Slash,Feint,Quick Guard,Baton Pass,Reversal,Razor Wind,Silver Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Dual Wingbeat,Laser Focus,Fury Cutter,Ominous Wind,Tailwind,Swift,Knock Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jynx,124,124,0,Ice,Psychic,Human-Like,Human-Like,Dry Skin,Forewarn,Dazzling,75,40,35,125,95,95,1,Copycat,1,Powder Snow,1,Pound,1,Lick,1,Sweet Kiss,1,Lovely Kiss,1,Draining Kiss,9,Ice Punch,12,Confusion,12,Fake Out,15,Icy Wind,15,Double Slap,16,Covet,18,Mean Look,20,Sing,21,Extrasensory,24,Fake Tears,31,Ice Beam,34,Psychic,39,Body Slam,43,Freeze-Dry,47,Perish Song,51,Blizzard,55,Nasty Plot,59,Psycho Boost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Water Pulse,Calm Mind,Toxic,Hail,Taunt,Ice Beam,Blizzard,Hyper Beam,Light Screen,Protect,Rain Dance,Dream Eater,Psychic,Shadow Ball,Brick Break,Double Team,Reflect,Torment,Rest,Attract,Thief,Skill Swap,Focus Blast,Energy Ball,Fling,Drain Punch,Nasty Plot,Payback,Recycle,Giga Impact,Flash,Avalanche,Psych Up,Dazzling Gleam,Grass Knot,Trick Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fake Out,Wish,Role Play,Ice Punch,Meditate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Covet,Ally Switch,Mud-Slap,Heal Bell,Uproar,Signal Beam,Ice Punch,Magic Room,Wonder Room,Seismic Toss,Role Play,Zen Headbutt,Magic Coat,Trick,Power-Up Punch,Icy Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electabuzz,125,125,0,Electric,,Human-Like,Human-Like,Static,Vital Spirit,Iron Fist,65,83,57,95,85,105,1,Charge,1,Thunder Shock,1,Leer,1,Quick Attack,1,Mach Punch,7,Low Kick,10,Swift,13,Shock Wave,16,Thunder Wave,19,Thunder Punch,22,Light Screen,25,Brick Break,28,Discharge,33,Screech,37,Cross Chop,41,Thunderbolt,45,Wild Charge,49,Close Combat,53,Thunder,64,Giga Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Toxic,Hyper Beam,Light Screen,Protect,Rain Dance,Iron Tail,Thunderbolt,Thunder,Low Sweep,Psychic,Brick Break,Double Team,Shock Wave,Facade,Volt Switch,Attract,Thief,Focus Blast,Fling,Wild Charge,Giga Impact,Flash,Thunder Wave,Strength,Rock Smash,Rock Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cross Chop,Dynamic Punch,Hammer Arm,Feint,Fire Punch,Ice Punch,Rolling Kick,Meditate,Karate Chop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Covet,Electroweb,Mud-Slap,Uproar,Signal Beam,Fire Punch,Ice Punch,Thunder Punch,Magnet Rise,Seismic Toss,Swift,Low Kick,Dual Chop,Power-Up Punch,Zap Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magmar,126,126,0,Fire,,Human-Like,Human-Like,Flame Body,Flash Fire,Vital Spirit,65,95,57,100,85,93,1,Ember,1,Leer,1,Smog,7,Smokescreen,12,Clear Smog,12,Feint Attack,13,Fire Spin,16,Will-O-Wisp,16,Flame Wheel,19,Fire Punch,22,Confuse Ray,24,Scary Face,25,Brick Break,28,Lava Plume,33,Sunny Day,37,Cross Chop,40,Low Kick,41,Flamethrower,45,Flare Blitz,49,Aura Sphere,53,Fire Blast,64,Hyper Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Toxic,Sunny Day,Hyper Beam,Protect,Iron Tail,Low Sweep,Psychic,Brick Break,Double Team,Flamethrower,Fire Blast,Attract,Thief,Brine,Overheat,Focus Blast,Fling,Will-O-Wisp,Giga Impact,Dark Pulse,Strength,Rock Smash,Rock Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belch,Dynamic Punch,Mach Punch,Cross Chop,Mega Punch,Screech,Thunder Punch,Flare Blitz,Belly Drum,Focus Energy,Power Swap,Karate Chop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Covet,Mud-Slap,Uproar,Fire Punch,Thunder Punch,Seismic Toss,Low Kick,Dual Chop,Scorching Sands,Power-Up Punch,Heat Wave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinsir,127,127,0,Bug,,Bug,Bug,Guts,Mold Breaker,Moxie,65,125,100,55,70,85,1,Vise Grip,1,Focus Energy,1,Bind,4,Harden,7,Seismic Toss,10,Quick Attack,13,Bug Bite,16,Revenge,19,Vital Throw,20,Storm Throw,22,Double Hit,25,Brick Break,28,X-Scissor,31,Knock Off,34,Swords Dance,36,Strength,37,Close Combat,40,Thrash,43,Megahorn,44,Submission,46,Superpower,49,Guillotine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Toxic,Bulk Up,Sunny Day,Hyper Beam,Protect,Rain Dance,Earthquake,Dig,Brick Break,Double Team,Rock Tomb,Attract,Thief,Focus Blast,False Swipe,Fling,Bug Buzz,Giga Impact,Stone Edge,Swords Dance,Stealth Rock,Rock Slide,X-Scissor,Hyper Voice,U-turn,Cut,Strength,Rock Smash,Rock Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feint,Flail,Thrash,Fury Attack,Quick Attack,Close Combat,Bug Bite,Superpower,Feint Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Bind,Helping Hand,Bulldoze,Fury Cutter,Iron Defense,Seismic Toss,Superpower,Knock Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tauros,128,128,0,Normal,,Field,Field,Intimidate,Anger Point,Sheer Force,75,100,95,70,70,110,1,Tail Whip,1,Tackle,4,Scary Face,5,Work Up,7,Horn Attack,13,Stomp,15,Assurance,16,Rest,19,Bulldoze,22,Payback,25,Take Down,28,Zen Headbutt,31,Body Slam,34,Swagger,37,Thrash,40,Iron Head,43,Double-Edge,46,Megahorn,49,Outrage,52,Giga Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Pulse,Toxic,Hidden Power,Sunny Day,Ice Beam,Blizzard,Hyper Beam,Protect,Rain Dance,Solar Beam,Iron Tail,Thunderbolt,Thunder,Earthquake,Double Team,Shock Wave,Flamethrower,Sandstorm,Fire Blast,Rock Tomb,Facade,Attract,Payback,Giga Impact,Stone Edge,Rock Slide,Hyper Voice,Surf,Strength,Rock Smash,Rock Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Bulldoze,Spite,Uproar,Stomping Tantrum,Role Play,Zen Headbutt,Iron Head,Icy Wind,Zap Cannon,Endeavor,Outrage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magikarp,129,129,0,Water,,Water 2,Dragon,Swift Swim,Swift Swim,Rattled,20,10,55,15,20,80,1,Splash,1,Tackle,1,Flail,15,Bounce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bounce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyarados,130,130,0,Water,Flying,Water 2,Dragon,Intimidate,Intimidate,Moxie,95,125,79,60,100,81,20,Bite,1,Twister,1,Leer,1,Tackle,1,Splash,1,Flail,1,Bind,1,Thrash,4,Whirlpool,12,Brine,21,Waterfall,26,Ice Fang,29,Aqua Tail,32,Scary Face,35,Crunch,38,Dragon Dance,41,Outrage,44,Hydro Pump,47,Rain Dance,50,Hurricane,53,Hyper Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Pulse,Roar,Toxic,Hail,Taunt,Ice Beam,Blizzard,Hyper Beam,Protect,Rain Dance,Iron Tail,Thunderbolt,Thunder,Earthquake,Double Team,Flamethrower,Sandstorm,Fire Blast,Torment,Attract,Brine,Scald,Endure,Dragon Pulse,Payback,Giga Impact,Stone Edge,Avalanche,Thunder Wave,Dark Pulse,Hyper Voice,Hurricane,Surf,Strength,Rock Smash,Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Bulldoze,Spite,Uproar,Dive,Bounce,Iron Head,Aqua Tail,Icy Wind,Zap Cannon,Outrage,Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lapras,131,131,0,Water,Ice,Monster,Water 1,Water Absorb,Shell Armor,Hydration,130,85,80,85,95,60,1,Water Gun,1,Growl,1,Sing,4,Mist,7,Confuse Ray,10,Ice Shard,13,Water Pulse,15,Life Dew,16,Body Slam,19,Rain Dance,22,Perish Song,25,Ice Beam,28,Bubble Beam,31,Avalanche,34,Dragon Pulse,35,Drill Run,37,Icicle Crash,40,Future Sight,43,Dragon Dance,46,Liquidation,49,Megahorn,52,Hydro Pump,55,Sheer Cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Pulse,Roar,Toxic,Hail,Ice Beam,Blizzard,Hyper Beam,Protect,Rain Dance,Safeguard,Iron Tail,Thunderbolt,Thunder,Psychic,Double Team,Shock Wave,Rest,Attract,Scald,Dragon Pulse,Giga Impact,Avalanche,Hyper Voice,Dazzling Gleam,Surf,Strength,Rock Smash,Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tickle,Curse,Horn Drill,Ancient Power,Fissure,Freeze-Dry,Dragon Dance,Whirlpool,Future Sight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Bulldoze,Block,Heal Bell,Signal Beam,Ancient Power,Dive,Zen Headbutt,Iron Head,Drill Run,Aqua Tail,Icy Wind,Zap Cannon,Outrage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ditto,132,132,0,Normal,,Ditto,Ditto,Imposter,Imposter,Imposter,48,48,48,48,48,48,1,Transform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eevee,133,133,0,Normal,,Field,Field,Run Away,Adaptability,Cloud Nine,55,55,50,45,65,55,1,Tail Whip,1,Growl,1,Tackle,1,Helping Hand,1,Covet,1,Bite,7,Sand Attack,10,Quick Attack,13,Baton Pass,15,Baby-Doll Eyes,16,Swift,22,Wish,25,Take Down,28,Fake Tears,30,Copycat,31,Charm,34,Double-Edge,37,Heal Bell,40,Last Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxic,Hidden Power,Sunny Day,Protect,Rain Dance,Iron Tail,Dig,Shadow Ball,Double Team,Rest,Attract,Grass Knot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flail,Curse,Tickle,Yawn,Detect,Double Kick,Mud-Slap,Wish,Charm,Fake Tears,Covet,Stored Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Covet,Mud-Slap,Laser Focus,Heal Bell,Swift,Last Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaporeon,134,134,0,Water,,Field,Field,Water Absorb,Hydration,Rain Dish,130,65,60,110,95,65,1,Water Gun,1,Tail Whip,1,Growl,1,Tackle,1,Helping Hand,1,Double-Edge,1,Charm,1,Take Down,1,Baton Pass,1,Copycat,1,Bite,1,Swift,1,Covet,7,Sand Attack,10,Quick Attack,13,Haze,15,Baby-Doll Eyes,16,Water Pulse,19,Aurora Beam,22,Aqua Ring,25,Scald,28,Extrasensory,31,Acid Armor,34,Muddy Water,37,Ice Beam,40,Last Resort,43,Hydro Pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Pulse,Roar,Toxic,Hail,Hidden Power,Sunny Day,Ice Beam,Blizzard,Hyper Beam,Protect,Rain Dance,Iron Tail,Dig,Shadow Ball,Double Team,Rest,Attract,Brine,Scald,Giga Impact,Grass Knot,Surf,Strength,Rock Smash,Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flail,Curse,Tickle,Yawn,Detect,Double Kick,Mud-Slap,Wish,Charm,Fake Tears,Covet,Stored Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Covet,Mud-Slap,Laser Focus,Heal Bell,Signal Beam,Dive,Swift,Aqua Tail,Icy Wind,Last Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jolteon,135,135,0,Electric,,Field,Field,Volt Absorb,Battery,Competitive,65,65,60,110,95,130,1,Thunder Shock,1,Tail Whip,1,Growl,1,Tackle,1,Helping Hand,1,Double-Edge,1,Charm,1,Take Down,1,Baton Pass,1,Copycat,1,Bite,1,Swift,1,Covet,7,Sand Attack,10,Quick Attack,13,Thunder Wave,15,Baby-Doll Eyes,16,Shock Wave,19,Double Kick,22,Thunder Fang,25,Discharge,28,Extrasensory,31,Agility,34,Thunderbolt,37,Pin Missile,40,Last Resort,43,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roar,Toxic,Hidden Power,Sunny Day,Hyper Beam,Light Screen,Protect,Rain Dance,Iron Tail,Thunderbolt,Thunder,Dig,Shadow Ball,Double Team,Shock Wave,Facade,Volt Switch,Rest,Attract,Wild Charge,Giga Impact,Flash,Thunder Wave,Grass Knot,Strength,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flail,Curse,Tickle,Yawn,Detect,Double Kick,Mud-Slap,Wish,Charm,Fake Tears,Covet,Stored Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Covet,Mud-Slap,Laser Focus,Heal Bell,Signal Beam,Magnet Rise,Swift,Zap Cannon,Last Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
