Name,PokemonID,MonsNo,FormNo,Type 1,Type 2,Egg Group 1,Egg Group 2,Ability1,Ability2,Ability3,HP,Attack,Defense,Special Attack,Special Defense,Speed,Learnset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TM Learnset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Egg Learnset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tutor Learnset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapidash,78,78,0,Fire,,Field,Field,Run Away,Flash Fire,Flame Body,65,100,70,80,80,105,1,Smart Strike,1,Megahorn,1,Poison Jab,1,Tackle,1,Quick Attack,1,Growl,1,Tail Whip,1,Ember,15,Flame Charge,20,Agility,25,Flame Wheel,30,Stomp,35,Fire Spin,43,Take Down,49,Inferno,56,Fire Blast,63,Flare Blitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunny Day,Hyper Beam,Protect,Solar Beam,Iron Tail,Double Team,Flamethrower,Fire Blast,Facade,Rest,Attract,Overheat,Endure,Will-O-Wisp,Giga Impact,Swords Dance,Sleep Talk,Poison Jab,Swagger,Substitute,Strength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Ally Switch,Bounce,Swift,Low Kick,Drill Run,Scorching Sands,Heat Wave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slowpoke,79,79,0,Water,Psychic,Monster,Water 1,Oblivious,Own Tempo,Regenerator,90,65,65,40,40,15,1,Tackle,1,Curse,3,Growl,6,Water Gun,9,Yawn,12,Confusion,15,Disable,18,Water Pulse,21,Headbutt,24,Zen Headbutt,27,Amnesia,30,Surf,33,Slack Off,36,Psychic,39,Psych Up,42,Rain Dance,45,Heal Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Pulse,Calm Mind,Hail,Sunny Day,Ice Beam,Blizzard,Light Screen,Protect,Rain Dance,Safeguard,Iron Tail,Earthquake,Dig,Psychic,Shadow Ball,Double Team,Flamethrower,Fire Blast,Facade,Rest,Attract,Skill Swap,Scald,Brine,Endure,Recycle,Flash,Thunder Wave,Psych Up,Sleep Talk,Bulldoze,Dream Eater,Grass Knot,Swagger,Substitute,Trick Room,Surf,Strength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belch,Belly Drum,Block,Stomp,Future Sight,Snore,Zen Headbutt,Wonder Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,After You,Bulldoze,Mud-Slap,Block,Signal Beam,Wonder Room,Dive,Zen Headbutt,Magic Coat,Swift,Trick,Aqua Tail,Icy Wind,Zap Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slowbro,80,80,0,Water,Psychic,Monster,Water 1,Oblivious,Own Tempo,Regenerator,95,75,110,100,80,30,1,Withdraw,1,Tackle,1,Curse,1,Growl,1,Water Gun,9,Yawn,12,Confusion,15,Disable,18,Water Pulse,21,Headbutt,24,Zen Headbutt,27,Amnesia,30,Surf,33,Slack Off,36,Psychic,41,Psych Up,46,Rain Dance,51,Heal Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Water Pulse,Calm Mind,Hail,Sunny Day,Ice Beam,Blizzard,Hyper Beam,Light Screen,Protect,Rain Dance,Safeguard,Iron Tail,Earthquake,Dig,Psychic,Shadow Ball,Brick Break,Double Team,Flamethrower,Fire Blast,Aerial Ace,Facade,Rest,Attract,Skill Swap,Scald,Focus Blast,Brine,Fling,Endure,Drain Punch,Nasty Plot,Recycle,Giga Impact,Flash,Avalanche,Thunder Wave,Psych Up,Sleep Talk,Bulldoze,Dream Eater,Grass Knot,Swagger,Substitute,Trick Room,Surf,Strength,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,After You,Bulldoze,Mud-Slap,Block,Fury Cutter,Signal Beam,Ice Punch,Iron Defense,Wonder Room,Seismic Toss,Dive,Trick,Zen Headbutt,Magic Coat,Swift,Aqua Tail,Icy Wind,Zap Cannon,Foul Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnemite,81,81,0,Electric,Steel,Mineral,Mineral,Magnet Pull,Sturdy,Analytic,25,35,70,95,55,45,1,Thunder Shock,1,Tackle,4,Supersonic,8,Thunder Wave,12,Electro Ball,16,Gyro Ball,20,Spark,24,Screech,28,Magnet Rise,32,Flash Cannon,36,Discharge,40,Metal Sound,44,Light Screen,48,Lock-On,52,Zap Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunny Day,Light Screen,Protect,Rain Dance,Thunderbolt,Thunder,Double Team,Reflect,Shock Wave,Facade,Volt Switch,Rest,Charge Beam,Endure,Explosion,Recycle,Flash,Thunder Wave,Gyro Ball,Psych Up,Sleep Talk,Swagger,Substitute,Flash Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Ally Switch,Rollout,Electroweb,Signal Beam,Iron Defense,Magnet Rise,Magic Coat,Swift,Gravity,Zap Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magneton,82,82,0,Electric,Steel,Mineral,Mineral,Magnet Pull,Sturdy,Analytic,50,60,95,120,70,70,1,Tri Attack,1,Electric Terrain,1,Thunder Shock,1,Tackle,1,Supersonic,1,Thunder Wave,12,Electro Ball,16,Gyro Ball,20,Spark,24,Screech,28,Magnet Rise,34,Flash Cannon,40,Discharge,46,Metal Sound,52,Light Screen,58,Lock-On,64,Zap Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunny Day,Hyper Beam,Light Screen,Protect,Rain Dance,Thunderbolt,Thunder,Double Team,Reflect,Shock Wave,Facade,Volt Switch,Rest,Charge Beam,Endure,Explosion,Recycle,Giga Impact,Flash,Thunder Wave,Gyro Ball,Psych Up,Sleep Talk,Swagger,Substitute,Flash Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Ally Switch,Rollout,Electroweb,Signal Beam,Iron Defense,Magnet Rise,Magic Coat,Swift,Gravity,Zap Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farfetch’d,83,83,0,Normal,Flying,Flying,Field,Keen Eye,Inner Focus,Defiant,52,90,55,58,62,60,1,Peck,1,Sand Attack,5,Leer,10,Fury Cutter,15,Cut,20,Aerial Ace,25,Air Cutter,30,Knock Off,35,False Swipe,40,Slash,45,Swords Dance,50,Air Slash,55,Leaf Blade,60,Agility,65,Brave Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Work Up,Sunny Day,Protect,Iron Tail,Double Team,Aerial Ace,Facade,Rest,Attract,Thief,Steel Wing,Roost,False Swipe,Endure,Swords Dance,Psych Up,Sleep Talk,Poison Jab,Swagger,Pluck,U-turn,Substitute,Cut,Fly,Defog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gust,Quick Attack,Flail,Feather Dance,Curse,Covet,Night Slash,Simple Beam,Final Gambit,Feint,Sky Attack,Mud-Slap,Leaf Blade,Revenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Covet,Air Cutter,Mud-Slap,Dual Wingbeat,Laser Focus,Fury Cutter,Uproar,Ominous Wind,Sky Attack,Tailwind,Swift,Heat Wave,Knock Off,Last Resort,Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doduo,84,84,0,Normal,Flying,Flying,Flying,Run Away,Early Bird,Tangled Feet,35,85,45,35,35,75,1,Peck,1,Growl,5,Quick Attack,8,Leer,12,Fury Attack,15,Wing Attack,19,Pluck,22,Double Hit,26,Agility,29,Uproar,33,Acupressure,36,Swords Dance,40,Lunge,43,Drill Peck,47,Endeavor,50,Thrash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Work Up,Sunny Day,Protect,Double Team,Aerial Ace,Facade,Rest,Attract,Thief,Steel Wing,Roost,Endure,Swords Dance,Sleep Talk,Swagger,Pluck,Substitute,Fly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quick Attack,Supersonic,Haze,Flail,Endeavor,Brave Bird,Assurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Air Cutter,Mud-Slap,Uproar,Sky Attack,Swift,Knock Off,Endeavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodrio,85,85,0,Normal,Flying,Flying,Flying,Run Away,Early Bird,Tangled Feet,60,110,70,60,60,110,1,Tri Attack,1,Peck,1,Growl,5,Quick Attack,8,Leer,12,Fury Attack,15,Wing Attack,19,Pluck,22,Double Hit,26,Agility,29,Uproar,34,Acupressure,38,Swords Dance,43,Lunge,47,Drill Peck,52,Endeavor,56,Thrash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Work Up,Sunny Day,Taunt,Hyper Beam,Protect,Double Team,Aerial Ace,Torment,Facade,Rest,Attract,Thief,Steel Wing,Roost,Endure,Payback,Giga Impact,Swords Dance,Sleep Talk,Swagger,Pluck,Substitute,Fly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Air Cutter,Mud-Slap,Uproar,Stomping Tantrum,Sky Attack,Swift,Knock Off,Endeavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seel,86,86,0,Water,,Water 1,Field,Thick Fat,Hydration,Ice Body,65,45,55,45,70,45,1,Headbutt,3,Growl,7,Water Gun,11,Icy Wind,13,Encore,17,Ice Shard,21,Rest,23,Aqua Ring,27,Aurora Beam,31,Aqua Jet,33,Brine,37,Take Down,41,Dive,43,Aqua Tail,47,Ice Beam,51,Safeguard,53,Hail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Pulse,Hail,Ice Beam,Blizzard,Protect,Rain Dance,Safeguard,Iron Tail,Double Team,Facade,Rest,Attract,Thief,Brine,Fling,Endure,Sleep Talk,Swagger,Substitute,Surf,Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lick,Perish Song,Disable,Horn Drill,Slam,Encore,Fake Out,Icicle Spear,Stockpile,Swallow,Spit Up,Belch,Entrainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Signal Beam,Dive,Drill Run,Aqua Tail,Icy Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dewgong,87,87,0,Water,Ice,Water 1,Field,Thick Fat,Hydration,Ice Body,90,70,80,70,95,70,1,Sheer Cold,1,Headbutt,3,Growl,7,Bubble Beam,11,Icy Wind,1,Water Gun,13,Encore,17,Ice Shard,21,Rest,23,Aqua Ring,27,Aurora Beam,31,Aqua Jet,33,Brine,39,Take Down,45,Dive,49,Aqua Tail,55,Ice Beam,61,Safeguard,65,Hail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Pulse,Hail,Ice Beam,Blizzard,Hyper Beam,Protect,Rain Dance,Safeguard,Iron Tail,Double Team,Facade,Rest,Attract,Thief,Brine,Fling,Endure,Giga Impact,Avalanche,Sleep Talk,Swagger,Substitute,Surf,Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Signal Beam,Dive,Drill Run,Aqua Tail,Icy Wind,Liquidation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grimer,88,88,0,Poison,,Amorphous,Amorphous,Stench,Sticky Hold,Poison Touch,80,80,50,40,50,25,1,Pound,1,Poison Gas,4,Harden,7,Mud-Slap,12,Disable,15,Sludge,18,Smog,21,Minimize,26,Fling,29,Sludge Bomb,32,Sludge Wave,37,Screech,40,Gunk Shot,43,Acid Armor,46,Belch,48,Memento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunny Day,Taunt,Protect,Rain Dance,Giga Drain,Thunderbolt,Thunder,Dig,Shadow Ball,Double Team,Shock Wave,Flamethrower,Sludge Bomb,Fire Blast,Rock Tomb,Torment,Facade,Rest,Attract,Thief,Fling,Endure,Explosion,Payback,Rock Slide,Sleep Talk,Poison Jab,Swagger,Substitute,Strength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haze,Mean Look,Lick,Imprison,Curse,Shadow Punch,Shadow Sneak,Stockpile,Swallow,Spit Up,Scary Face,Acid Spray,Power-Up Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Mud-Slap,Self-Destruct,Fire Punch,Ice Punch,Thunder Punch,Pain Split,Power-Up Punch,Zap Cannon,Gunk Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muk,89,89,0,Poison,,Amorphous,Amorphous,Stench,Sticky Hold,Poison Touch,105,105,75,65,100,50,1,Venom Drench,1,Pound,1,Poison Gas,4,Harden,7,Mud-Slap,12,Disable,15,Sludge,18,Smog,21,Minimize,26,Fling,29,Sludge Bomb,32,Sludge Wave,37,Screech,40,Gunk Shot,46,Acid Armor,52,Belch,57,Memento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Sunny Day,Taunt,Hyper Beam,Protect,Rain Dance,Giga Drain,Thunderbolt,Thunder,Dig,Shadow Ball,Brick Break,Double Team,Shock Wave,Flamethrower,Sludge Bomb,Fire Blast,Rock Tomb,Torment,Facade,Rest,Attract,Thief,Focus Blast,Fling,Endure,Explosion,Payback,Giga Impact,Dark Pulse,Rock Slide,Sleep Talk,Poison Jab,Swagger,Substitute,Strength,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Mud-Slap,Block,Self-Destruct,Fire Punch,Ice Punch,Thunder Punch,Pain Split,Power-Up Punch,Zap Cannon,Gunk Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shellder,90,90,0,Water,,Water 3,Water 3,Shell Armor,Skill Link,Overcoat,30,65,100,45,25,40,1,Tackle,1,Water Gun,4,Withdraw,8,Ice Shard,12,Leer,16,Whirlpool,20,Supersonic,24,Aurora Beam,28,Protect,32,Razor Shell,36,Iron Defense,40,Ice Beam,44,Shell Smash,48,Hydro Pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Pulse,Hail,Ice Beam,Blizzard,Protect,Rain Dance,Double Team,Facade,Rest,Attract,Brine,Endure,Explosion,Payback,Avalanche,Sleep Talk,Swagger,Substitute,Surf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bubble Beam,Aqua Ring,Life Dew,Take Down,Rapid Spin,Screech,Icicle Spear,Mud Shot,Rock Blast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Self-Destruct,Iron Defense,Dive,Swift,Icy Wind,Liquidation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloyster,91,91,0,Water,Ice,Water 3,Water 3,Shell Armor,Skill Link,Overcoat,50,95,180,85,45,70,1,Icicle Spear,1,Icicle Crash,1,Toxic Spikes,1,Spikes,1,Leer,1,Whirlpool,1,Supersonic,1,Aurora Beam,1,Protect,1,Razor Shell,1,Iron Defense,1,Ice Beam,1,Shell Smash,1,Hydro Pump,1,Tackle,1,Water Gun,1,Withdraw,1,Ice Shard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Pulse,Hail,Ice Beam,Blizzard,Hyper Beam,Light Screen,Protect,Rain Dance,Double Team,Torment,Facade,Rest,Attract,Brine,Endure,Explosion,Payback,Giga Impact,Avalanche,Sleep Talk,Poison Jab,Swagger,Substitute,Surf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Spikes,Self-Destruct,Signal Beam,Iron Defense,Dive,Swift,Icy Wind,Liquidation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastly,92,92,0,Ghost,Poison,Amorphous,Amorphous,Levitate,Levitate,Levitate,30,35,30,100,35,80,1,Lick,1,Confuse Ray,4,Hypnosis,8,Mean Look,12,Payback,16,Spite,20,Curse,24,Hex,28,Night Shade,32,Sucker Punch,36,Dark Pulse,40,Shadow Ball,44,Destiny Bond,48,Dream Eater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxic,Sunny Day,Taunt,Protect,Rain Dance,Giga Drain,Dazzling Gleam,Thunderbolt,Psychic,Shadow Ball,Double Team,Sludge Bomb,Torment,Facade,Rest,Attract,Thief,Skill Swap,Energy Ball,Endure,Will-O-Wisp,Explosion,Payback,Psych Up,Dark Pulse,Sleep Talk,Poison Jab,Dream Eater,Swagger,Substitute,Trick Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perish Song,Haze,Astonish,Grudge,Disable,Clear Smog,Smog,Reflect Type,Fire Punch,Ice Punch,Thunder Punch,Scary Face,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Ally Switch,Self-Destruct,Spite,Uproar,Ominous Wind,Fire Punch,Ice Punch,Thunder Punch,Wonder Room,Pain Split,Trick,Icy Wind,Knock Off,Sucker Punch,Zap Cannon,Foul Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haunter,93,93,0,Ghost,Poison,Amorphous,Amorphous,Levitate,Levitate,Levitate,45,50,45,115,55,95,1,Shadow Punch,1,Lick,1,Confuse Ray,1,Hypnosis,1,Mean Look,12,Payback,16,Spite,20,Curse,24,Hex,30,Night Shade,36,Sucker Punch,42,Dark Pulse,48,Shadow Ball,54,Destiny Bond,60,Dream Eater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxic,Sunny Day,Taunt,Protect,Rain Dance,Giga Drain,Dazzling Gleam,Thunderbolt,Psychic,Shadow Ball,Double Team,Sludge Bomb,Torment,Facade,Rest,Attract,Thief,Skill Swap,Energy Ball,Fling,Endure,Will-O-Wisp,Explosion,Shadow Claw,Payback,Psych Up,Dark Pulse,Sleep Talk,Poison Jab,Dream Eater,Swagger,Substitute,Trick Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Ally Switch,Self-Destruct,Spite,Uproar,Ominous Wind,Fire Punch,Ice Punch,Thunder Punch,Wonder Room,Pain Split,Trick,Icy Wind,Knock Off,Sucker Punch,Zap Cannon,Foul Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gengar,94,94,0,Ghost,Poison,Amorphous,Amorphous,Cursed Body,Cursed Body,Cursed Body,60,65,60,130,75,110,1,Shadow Punch,1,Perish Song,1,Reflect Type,1,Lick,1,Confuse Ray,1,Hypnosis,1,Mean Look,12,Payback,16,Spite,20,Curse,24,Hex,30,Night Shade,36,Sucker Punch,42,Dark Pulse,48,Shadow Ball,54,Destiny Bond,60,Dream Eater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Toxic,Sunny Day,Taunt,Hyper Beam,Protect,Rain Dance,Giga Drain,Dazzling Gleam,Thunderbolt,Thunder,Psychic,Shadow Ball,Brick Break,Double Team,Sludge Bomb,Torment,Facade,Rest,Attract,Thief,Skill Swap,Focus Blast,Energy Ball,Fling,Endure,Drain Punch,Will-O-Wisp,Nasty Plot,Explosion,Shadow Claw,Payback,Giga Impact,Psych Up,Dark Pulse,Sleep Talk,Poison Jab,Dream Eater,Swagger,Substitute,Trick Room,Strength,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Ally Switch,Laser Focus,Self-Destruct,Spite,Uproar,Ominous Wind,Fire Punch,Ice Punch,Thunder Punch,Wonder Room,Seismic Toss,Role Play,Pain Split,Trick,Power-Up Punch,Icy Wind,Knock Off,Sucker Punch,Zap Cannon,Foul Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
